@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Membrane_projections_0_11_1 numeric
@attribute Membrane_projections_1_11_1 numeric
@attribute Membrane_projections_2_11_1 numeric
@attribute Membrane_projections_3_11_1 numeric
@attribute Membrane_projections_4_11_1 numeric
@attribute Membrane_projections_5_11_1 numeric
@attribute class {'class 1','class 2'}

@data
7959,16609.423828,148723.59375,-169624,-408101376,-82439.273438,-256808.734375,-0.719473,8.748134611988597E20,30404708352,7670.92041,16004.168945,138254.09375,-157006,-514127360,-75294.023438,-238717.984375,-0.720485,6.583607522207371E20,26707390464,2887836.25,603101.5625,4163000.5,444677.5,6247.604004,12939.857422,81455.59375,-88677.8125,-703608832,-37010.152344,-140345.46875,-0.729194,8.397065299129952E19,10678189056,1423.316406,1526290.125,23301.478516,1924624.5,109557.351563,4835.51709,9993.05957,13748.108398,-5918.171387,-157436736,6973.411621,-18809.753906,-0.695582,2.3283462240731136E16,664771648,2835.40332,1412.086914,1333686.75,3948.081543,1021537.3125,46280.484375,4945.91748,6402.739258,3200.818115,49459.175781,1021.257996,4828.544922,'class 1'
4990,33836.871094,80129.210938,-46276,-3951992320,20711.755859,-113263.757813,-0.558468,3.8438148052816495E19,17949437952,5067.507813,32020.287109,77363.648438,-48641.382813,-3444062464,14884.662109,-112167.429688,-0.559912,3.81922664665202E19,16142233600,5186052,378360.15625,3820881.75,363935.34375,5288.32373,22615.291016,61411.078125,-54679.011719,-1175913088,-10822.864258,-98535.15625,-0.564013,2.300182283549252E19,7693446656,-220.815918,1701344.75,17116.75,1711690.125,88722.539063,4574.604004,12514.855469,20202.523438,-16893.580078,-127036856,-2808.654785,-30978.505859,-0.475171,2.26470928278618112E17,793540480,492.903809,713.719727,1230101,2943.002197,1001532.4375,41665.453125,4040.703857,5141,2548.95459,40407.039063,853.871033,4221.115723,'class 1'
10292,19895.189453,210242.25,-235560,-1626894336,-111064.929688,-360055.0625,-0.911059,3.440070916192256E21,61996089344,9951.12207,18834.703125,195775.09375,-220859.25,-976180224,-106094.78125,-335623.71875,-0.907309,2.5698400787204785E21,52683534336,4195316.5,687210.0625,4578719.5,377858.4375,8205.660156,13502.874023,117858.109375,-139479.203125,817773568,-75872.296875,-203086.109375,-0.871014,3.1483817051579797E20,16183352320,1745.461914,1681896.75,17602.369141,2004328.875,78178.21875,6071.081055,10423.506836,26257.457031,-33282.726563,141902224,-21662.369141,-44903.085938,-0.753425,5.9832454102174925E17,540130880,3880.041016,2134.579102,1461843.875,1106.653076,1114435.75,25266.017578,5521.803711,6927.54541,3856.363525,55218.035156,950.122375,5291.547852,'class 1'
9363,42419.761719,161079.46875,-204880,5668621312,-135415.390625,-274344.625,-0.701889,8.101890583459067E20,19301330944,9106.291016,39631.425781,152153.625,-193435.96875,5022925312,-127622.273438,-259249.65625,-0.705176,6.48286481329286E20,17325768704,7043407.5,391533.40625,4332911,303248.78125,7665.768066,25602.642578,101688.53125,-128906.53125,2160299264,-84253.15625,-173559.90625,-0.715982,1.3253129651556136E20,7975696384,1440.522949,1935166.625,26278.417969,1807214.125,62151.539063,5713.798828,13360.533203,31263.316406,-40260.796875,262802272,-28326.363281,-52195.230469,-0.571574,9.2348174031441101E17,569722752,3392.492188,1951.969238,1348165.875,740.658081,1083328.25,21752.167969,4677.348145,5698.75,3307.54541,46773.480469,765.144592,4829.429688,'class 1'
14225,5751.711426,283968.34375,-362594,18933753856,-244548.03125,-480639.96875,-0.918612,7.328304038503405E21,55739396096,13561.824219,5740.459961,262930.15625,-335819.53125,16249306112,-226529.171875,-445109.90625,-0.91633,5.38809983878662E21,47777533952,4875110.5,418664.125,5066330.5,343390.5625,10237.456055,6738.945801,152146.140625,-194980.296875,5556475904,-132148.359375,-257812.234375,-0.89656,6.003471410395548E20,15791413248,3324.368164,1669997.625,27650.804688,2049293.875,67082.898438,7109.059082,9170.279297,37875.277344,-51001.109375,516498784,-39434.800781,-62567.417969,-0.804759,1.3919026933661696E18,535118080,6452.765137,3128.396973,1538784.625,240.739471,1172347.625,13945.183594,6372.068848,7900.90918,4824.95459,63720.6875,912.826111,6214.813965,'class 1'
11306,36993.675781,212880.734375,-267982,8901131264,-172837.609375,-363126.40625,-0.885579,2.6003851802431654E21,36209823744,10949.30957,34618.230469,200081.640625,-252332.78125,8015933952,-163439.453125,-341226.09375,-0.882572,2.0125453797937486E21,31608094720,7671785,176063.375,4858265,277748.625,9023.224609,23032.71875,129461.789063,-165546.15625,3847680768,-110740.125,-220352.1875,-0.852573,3.2927203139965996E20,12014802944,1926.084961,2026917.25,27924.044922,1879206.625,56632.246094,6507.072754,13026.428711,38730.308594,-51900.453125,521762240,-39585.75,-64215.15625,-0.734656,1.63399316356988928E18,606607744,4442.236816,2516.151855,1426125.375,228.23468,1134744.375,12264.155273,5414.649414,6631.600098,4367.727051,54146.496094,654.465942,5304.333984,'class 1'
4998,46826.121094,14477.079102,-19962,94355808,-17667.537109,-22256.462891,-1.476757,8.391313292525568E15,21058228,5192.074219,44484.429688,18714,-25831.642578,155352400,-22445.486328,-29217.798828,-1.150915,3.060398274117632E16,45864208,9400851,57721.859375,4636711.5,226231.53125,5807.625,31827.193359,34550.183594,-46681.375,442504832,-36567.878906,-56794.871094,-0.852976,8.9155879459146957E17,409131296,-615.550781,2364986,16557.175781,1747343.5,51017.488281,5294.937988,16207.137695,20859.652344,-28791.724609,188094992,-24416.125,-33167.324219,-0.64367,6.3484882264784896E16,76583456,-102.86377,512.687012,1304235.875,294.507355,1080497.375,11151.748047,4208.326172,5625.799805,2433.818115,42083.261719,946.86377,4142.541016,'class 1'
11524,31711.197266,216928.046875,-250950,354779136,-126896.796875,-375003.1875,-0.839675,3.8765941320241633E21,61556785152,11147.84375,29760.119141,203461.609375,-236122.5625,586821632,-120573.242188,-351671.875,-0.841611,2.977623292055344E21,53406580736,7449541.5,35016.53125,5384530,293904.40625,9198.076172,20447.126953,130629.210938,-155768.140625,1229950464,-86226.945313,-225309.328125,-0.856139,4.693551256185078E20,19343910912,1949.767578,2089353.625,13431.148438,1943164.625,68768.171875,6795.319824,12579.576172,37104.289063,-48036.5625,354977024,-33140.226563,-62932.898438,-0.820175,2.04815472961939046E18,887603328,4352.523926,2402.756348,1466592.25,465.800964,1156323.125,9773.070313,5844.214844,7524.850098,4714.727051,58442.148438,852.81189,5932.40625,'class 1'
5564,48611.332031,30929.455078,-40494,273296800,-28804.507813,-52183.492188,-0.799259,8.9625700777695642E17,546576832,5700.796387,45867.488281,33776.019531,-43582.074219,285319424,-29815.087891,-57349.058594,-0.831275,1.43997018063660646E18,758119552,9137513,22246.722656,5120945,264747.5625,6071.033691,31445.0625,42259.855469,-51596.394531,241234112,-30997.539063,-72195.25,-0.921085,4.5184023524152443E18,1697251456,-370.237305,2425025.5,4863.791992,1855854.875,70375.25,5440.758301,15881.720703,19266.599609,-24162.802734,73419672,-15645.726563,-32679.878906,-0.94028,1.69408697158598656E17,290162368,260.038086,630.275391,1365874,739.664551,1107439.375,9728.107422,4542.062988,6291.950195,3247.5,45420.628906,930.424561,4412.690918,'class 1'
12013,30976.953125,236585.4375,-285000,5285079040,-162439.109375,-407560.875,-0.860797,4.880378090545706E21,60084682752,11561.90918,28851.958984,220486.625,-265284.9375,4477816832,-150758.921875,-379810.96875,-0.862584,3.692270525000167E21,52464836608,6772603,62150.980469,5955257.5,370101.90625,9261.375977,18677.013672,133547.125,-158616.0625,1214366720,-87374.234375,-229857.890625,-0.880101,5.107688556012954E20,20301590528,2300.533203,2149801.25,7042.024902,2030483.25,99515.601563,6768.157715,12078.759766,30351.552734,-35156.984375,13981856,-17980.792969,-52333.175781,-0.869088,1.45860250468089856E18,1180086144,4793.751465,2493.218262,1476671.5,1340.311401,1152208.125,11134.317383,6170.82373,7929.5,4695,61708.238281,1181.672852,6159.282227,'class 1'
