iImage	iCell	X	Y	Cell_area	Cell_FG_Fp_TotInt	Cell_FG_Fp_MeanInt	Cell_GFP_TotInt	Cell_GFP_MeanInt	Cell_FG_Fp_GFP_TotInt	Seg_area	Seg_n	Seg_area_max	Seg_FG_TotInt_Fp	Seg_FG_MeanInt_Fp
1	1	36.16582	183.725	2364	201.58	0.09	1.54	0	61.64	402	6	241	89.86	0.16
1	2	22.7687	452.3592	1885	114.92	0.06	1.11	0	46.19	241	3	212	41.94	0.18
1	3	28.06395	407.5023	1720	143.85	0.08	1.06	0	52.45	289	4	220	54.69	0.15
1	4	32.83201	584.9112	2387	132.1	0.06	1.03	0	39.32	267	6	180	44.83	0.15
1	5	40.32513	40.32652	2153	170.09	0.08	1.05	0	80.71	296	4	262	70	0.18
1	6	52.07367	294.0349	3149	262.56	0.08	6.4	0	36.63	396	14	308	99.6	0.16
1	7	37.61739	498.2254	1806	94.34	0.05	0.6	0	39.83	221	1	221	49.1	0.22
1	8	44.67124	117.8681	2479	159.07	0.06	1.16	0	53.4	310	1	310	83.59	0.27
1	9	53.38223	214.4871	1745	94.5	0.05	1.11	0	39.6	165	5	129	28.71	0.14
1	10	55.52567	987.6652	1383	117.9	0.09	-0.01	0	58.47	238	4	223	56.93	0.17
1	11	75.91859	711.3669	4729	319.89	0.07	1.73	0	61.41	552	6	278	140.22	0.22
1	12	74.51722	448.1691	1626	126.43	0.08	0.93	0	50.13	218	2	178	50.42	0.22
1	13	70.72152	558.1479	1264	76.01	0.06	0.15	0	44.84	67	5	52	19.16	0.18
1	14	72.65075	507.9246	2136	152.95	0.07	0.82	0	52.52	295	2	255	72.42	0.23
1	15	64.12851	411.8333	498	172.07	0.35	0.59	0	159.24	381	1	381	155.12	0.41
1	16	91.272	762.1742	1625	59.47	0.04	0.12	0	34.86	65	2	62	9.29	0.16
1	17	83.99472	130.9039	1894	187.34	0.1	1.35	0	68.48	323	4	295	96.63	0.23
1	18	73.98934	386.4989	469	175.03	0.37	0.65	0	175.67	288	1	288	129.95	0.45
1	19	81.28014	171.1515	871	165.71	0.19	2.11	0	65.3	351	3	335	109.04	0.23
1	20	88.41217	234.2134	1298	108.46	0.08	0.85	0	60.25	181	3	161	39.4	0.19
1	21	109.0224	669.7916	1919	198.61	0.1	1.72	0	63.59	427	5	358	109.02	0.18
1	22	110.9523	946.9766	1112	72.69	0.07	0.81	0	38.43	126	6	100	23.81	0.15
1	23	105.0619	181.6604	792	101.68	0.13	1.89	0	53.8	146	2	112	44.02	0.3
1	24	109.3323	627.7606	1625	88.49	0.05	0.85	0	43.26	178	3	166	29.77	0.15
1	25	133.5722	599.0166	2403	125.32	0.05	1.38	0	39.91	211	6	174	39.65	0.14
1	26	114.4405	206.546	1033	232.93	0.23	2.63	0	97.9	516	1	516	167.63	0.32
1	27	136.4661	490.1125	3403	220.44	0.06	1.14	0	60.47	162	11	62	31.82	0.18
1	28	123.8022	427.1464	2548	109.84	0.04	0.96	0	31.89	207	2	186	46.37	0.29
1	29	131.713	535.1158	3014	220.59	0.07	1.81	0	54.81	338	8	229	80.53	0.2
1	30	133.9924	146.1843	2377	413.54	0.17	1.56	0	151.86	692	5	491	281.39	0.3
1	31	156.7892	188.6428	2405	198.02	0.08	1.61	0	58.64	266	4	255	75.45	0.22
1	32	143.2816	701.4664	1921	157.63	0.08	1.02	0	54.44	340	2	337	84.98	0.18
1	33	150.8287	769.3609	1524	109.78	0.07	0.25	0	51.95	230	2	221	49.58	0.15
1	34	167.3946	380.535	2357	119.6	0.05	1.08	0	35.4	261	2	228	58.17	0.24
1	35	153.5268	807.1453	1961	80.29	0.04	0.16	0	38.58	181	5	131	30.72	0.15
1	36	165.2617	635.5961	1899	111.8	0.06	0.47	0	40.07	287	3	252	53.72	0.18
1	37	164.651	669.2095	1556	73.71	0.05	0.29	0	40.73	173	4	157	32.71	0.19
1	38	165.2869	428.1826	2213	181.11	0.08	0.97	0	57.78	232	3	227	67.78	0.21
1	39	191.4226	119.5141	1945	140.58	0.07	1.93	0	48.72	211	5	168	51.57	0.2
1	40	196.9375	466.8992	1568	163.07	0.1	0.88	0	67.62	314	3	208	87.54	0.26
1	41	216.2466	166.3385	4384	370.78	0.08	2.7	0	62.65	386	9	275	164.98	0.29
1	42	201.9055	571.7388	984	78.53	0.08	0.91	0	48.27	139	2	136	35.49	0.23
1	43	202.0747	618.0929	1378	114.34	0.08	3.89	0	23.36	190	9	125	44.32	0.16
1	44	203.3089	59.8139	2101	104.7	0.05	1.42	0	35.34	103	5	49	16.55	0.14
1	45	216.3554	434.4794	1629	142.94	0.09	1	0	55.25	286	8	187	60.47	0.19
1	46	227.7265	222.9581	2004	165.99	0.08	3.22	0	44.75	362	3	329	81.32	0.17
1	47	235.6012	902.1388	3761	336.06	0.09	0.52	0	80.02	672	1	672	205.06	0.31
1	48	224.3254	588.4872	1094	89.03	0.08	0.52	0	56.19	115	3	73	30.63	0.25
1	49	228.5145	711.2169	1102	131.26	0.12	0.51	0	70.91	432	2	430	77.16	0.15
1	50	237.6449	758.9151	1366	66.89	0.05	0.16	0	44.69	114	4	63	22.2	0.19
1	51	240.4659	626.9256	1438	159.67	0.11	0.27	0	78.72	478	10	408	88.72	0.13
1	52	249.0677	522.242	1818	129.91	0.07	0.21	0	65.26	308	1	308	63.82	0.21
1	53	240.9395	63.89609	1636	60.04	0.04	0.99	0	27.43	99	2	96	13.95	0.12
1	54	251.4527	570.6114	983	91.63	0.09	0.42	0	66.61	192	2	190	36.74	0.19
1	55	263.8536	545.6737	1373	79.89	0.06	0.51	0	43.06	74	5	44	13.17	0.18
1	56	262.6091	107.7111	1921	93.74	0.05	0.89	0	40.77	185	9	142	26.42	0.11
1	57	269.5952	765.0681	1218	113.25	0.09	0.23	0	66.14	310	3	302	61.82	0.17
1	58	271.4571	706.142	1444	88.02	0.06	0.52	0	38.55	213	7	163	34.14	0.14
1	59	266.9309	172.3888	926	70.81	0.08	2.44	0	24.46	82	3	66	15.37	0.15
1	60	287.1093	626.5358	1564	109.11	0.07	0.06	0	55.41	243	7	150	39.7	0.14
1	61	293.3936	575.117	1316	103.68	0.08	0.71	0	52.07	224	2	124	39.89	0.18
1	62	283.8156	230.0866	808	79.44	0.1	0.35	0	69.87	330	4	280	46.21	0.11
1	63	301.4381	95.71169	1155	126.34	0.11	0.99	0	68.84	351	3	333	68.57	0.17
1	64	309.4893	126.8096	1171	132.01	0.11	1.12	0	93.67	351	2	295	74.44	0.2
1	65	291.9263	157.7688	692	42.44	0.06	1.54	0	22.58	85	2	74	13.9	0.16
1	66	304.9803	677.9467	1014	146.94	0.14	0.17	0	88.79	432	1	432	105.49	0.24
1	67	306.9287	756.9347	996	62.68	0.06	0.11	0	47.41	24	3	15	5.17	0.2
1	68	310.3931	205.0538	613	65.85	0.11	0.3	0	87.25	378	1	378	49.18	0.13
1	69	321.5754	549.48	1604	100.67	0.06	0.66	0	45.18	233	3	200	43.72	0.18
1	70	321.4126	615.7602	1568	151.52	0.1	0.05	0	64.65	279	4	259	71.11	0.19
1	71	331.0521	772.4594	1095	79.94	0.07	0.12	0	54.86	159	4	115	31.55	0.17
1	72	326.4428	51.45732	1312	133.95	0.1	3.97	0	33.72	173	3	96	48.13	0.27
1	73	368.5448	28.60688	2966	173.67	0.06	1.69	0	96.68	230	5	170	71.72	0.19
1	74	335.9968	709.4093	1544	77.23	0.05	2.58	0	29.91	188	4	108	35.47	0.19
1	75	335.6648	659.2962	1411	105.75	0.07	-0.03	0	62.33	230	4	222	44.43	0.15
1	76	356.7946	116.0381	2517	216	0.09	1.91	0	57.5	328	10	179	70.29	0.2
1	77	373.5564	871.6024	3526	302.16	0.09	1.1	0	66.44	425	9	225	96.43	0.19
1	78	347.7053	815.2093	2121	85.83	0.04	-0.01	0	33.22	32	5	11	4.4	0.13
1	79	355.3479	72.06354	1558	67.15	0.04	2.28	0	29.36	82	3	72	20.12	0.19
1	80	360.1073	603.2157	1827	151.22	0.08	0.57	0	53.98	497	4	469	93.6	0.14
1	81	357.1674	552.0099	1619	98.02	0.06	0.62	0	44.49	176	2	169	41.72	0.19
1	82	382.6616	634.0328	1584	151.21	0.1	0.27	0	68.62	455	2	452	87.94	0.16
1	83	383.3396	544.4411	1546	97.89	0.06	0.19	0	57.5	171	3	154	35.12	0.19
1	84	414.0491	977.4786	7480	294.18	0.04	5.25	0	27.4	622	10	498	117.26	0.14
1	85	396.818	686.6322	2039	68.42	0.03	0.45	0	23.25	232	2	224	32.61	0.12
1	86	398.1474	817.5794	1581	85.32	0.05	0.56	0	34.24	265	2	262	39.6	0.12
1	87	407.3895	346.4927	1366	82.62	0.06	0.65	0	35.66	205	4	171	33.47	0.12
1	88	413.0691	512.9237	1114	147.48	0.13	0.41	0	83.4	296	4	273	78.73	0.14
1	89	404.5175	158.6572	1059	57.92	0.05	1.84	0	24.55	176	1	176	32.54	0.18
1	90	418.4037	55.06945	1843	62.77	0.03	0.72	0	30.35	125	2	120	27.17	0.21
1	91	404.7397	754.0806	1018	48.32	0.05	0.12	0	43.25	156	2	144	24.39	0.14
1	92	415.2379	82.58929	1400	82.15	0.06	0.65	0	49.1	191	2	189	43.48	0.2
1	93	410.6377	393.3825	1579	85.22	0.05	0.42	0	43.31	213	1	213	40.29	0.19
1	94	435.624	892.6349	5508	166.89	0.03	4.16	0	20.36	393	3	382	81.7	0.13
1	95	421.0455	577.5013	1496	79.49	0.05	0.08	0	41.73	209	1	209	42.33	0.2
1	96	426.6656	610.7321	963	82.76	0.09	0.27	0	57.24	146	3	105	26.44	0.16
1	97	434.0163	542.2089	1599	109.87	0.07	0.16	0	51.9	283	1	283	61.69	0.22
1	98	430.6342	116.6308	1170	67.74	0.06	2.14	0	25.01	54	5	45	7.1	0.12
1	99	437.914	641.7921	1058	86.92	0.08	0.31	0	54.26	198	1	198	56.93	0.29
1	100	443.9758	708.3071	990	38.69	0.04	0.14	0	28.62	46	5	17	5.26	0.11
1	101	446.1438	360.4137	1426	92.83	0.07	0.89	0	48.02	216	3	211	39.23	0.14
1	102	455.4923	29.47191	1424	66.84	0.05	0.52	0	34.98	114	3	68	18.62	0.14
1	103	458.4403	407.3702	1599	87.33	0.05	0.35	0	45.69	254	2	242	35.93	0.14
1	104	466.9397	86.04443	1958	144.8	0.07	5.24	0	25.31	258	6	238	62.25	0.16
1	105	468.0274	344.2942	1424	60.43	0.04	0.75	0	33.75	172	2	168	26.02	0.12
1	106	468.8365	728.6873	1327	79.71	0.06	2.63	0	20.33	131	6	111	21.65	0.12
1	107	480.0078	778.5434	1290	92.71	0.07	0.73	0	40.17	277	6	127	37.61	0.12
1	108	489.0128	851.1853	1252	93.12	0.07	0.1	0	56.99	348	4	321	45.96	0.11
1	109	492.4503	237.4731	1228	127.09	0.1	0.48	0	64.26	509	8	451	74.89	0.11
1	110	503.7167	708.2606	2164	142.52	0.07	1.07	0	53.68	233	9	131	41.5	0.16
1	111	492.6982	811.5088	1362	102.8	0.08	0.6	0	53.33	147	4	62	44.59	0.25
1	112	503.1752	53.60787	1678	152.78	0.09	3.44	0	35.85	269	3	246	80	0.22
1	113	508.3754	919.4441	1995	100.86	0.05	0.08	0	40.11	163	2	160	29.22	0.15
1	114	500.6951	381.4286	1302	63.68	0.05	0.58	0	29.37	212	3	200	29.73	0.11
1	115	500.0761	284.1329	1392	76.83	0.06	0.37	0	37.11	194	1	194	32.71	0.17
1	116	514.9088	741.0568	1425	102.06	0.07	2.01	0	33.37	193	2	190	37.11	0.17
1	117	516.9798	343.2337	890	51.38	0.06	-0.07	0	41.72	176	2	173	23.26	0.11
1	118	536.7646	884.5657	1232	75.16	0.06	0.05	0	48.31	127	4	119	23.6	0.15
1	119	541.801	405.6001	1598	77.32	0.05	-0.22	0	36.52	120	5	47	15.46	0.13
1	120	529.8033	811.4334	1495	82.28	0.06	0.55	0	34.59	209	4	190	31.62	0.12
1	121	534.3931	312.4483	1412	58.33	0.04	-0.19	0	31.06	136	3	128	21.6	0.12
1	122	536.4256	191.3068	1835	122.77	0.07	2.67	0	34.44	272	3	263	50.81	0.15
1	123	536.1046	248.6695	1425	102.73	0.07	0.93	0	44.19	227	7	118	35.21	0.15
1	124	546.9855	28.14136	1719	121.64	0.07	0.32	0	60.74	125	6	87	30.73	0.23
1	125	537.6457	132.8406	1098	81.47	0.07	0.24	0	51.4	171	1	171	35.44	0.21
1	126	545.7873	769.2985	1514	83.6	0.06	0.44	0	43.54	136	6	74	27.64	0.18
1	127	554.4605	947.2289	2530	112.37	0.04	0.02	0	36.16	194	3	190	36.07	0.14
1	128	550.5604	75.69323	1506	63.33	0.04	0.54	0	31.56	111	3	104	21.32	0.15
1	129	563.8722	168.7873	1495	110.62	0.07	2.58	0	49.2	64	7	18	12.12	0.18
1	130	551.019	367.5051	1366	68.33	0.05	-0.21	0	38.26	161	1	161	22.95	0.14
1	131	572.7889	453.5579	3454	164.64	0.05	0.29	0	36.57	424	6	312	70.24	0.15
1	132	565.5429	130.434	1341	100.01	0.07	0.17	0	55.43	178	2	161	32.96	0.18
1	133	575.2068	1002.863	1804	112.95	0.06	0.28	0	45.49	166	2	157	37.48	0.19
1	134	579.0307	225.6301	1595	93.69	0.06	0.18	0	53.9	179	8	136	29.55	0.13
1	135	574.8649	52.02703	999	73.54	0.07	0.6	0	46.71	85	4	49	18.53	0.19
1	136	577.947	273.4331	1584	123.9	0.08	0.85	0	44.52	230	2	221	48.66	0.18
1	137	574.5899	740.26	1246	58.59	0.05	-0.21	0	36.19	165	1	165	33.9	0.21
1	138	581.9938	330.6595	1122	63.38	0.06	-0.14	0	35.75	169	3	139	26.61	0.14
1	139	590.3461	196.1413	1231	100.21	0.08	0.89	0	66.93	116	2	110	39.33	0.28
1	140	587.9649	906.5489	1310	71.91	0.05	-0.16	0	49.91	147	1	147	36.3	0.25
1	141	599.0288	81.8973	1665	145.11	0.09	0.56	0	66.51	265	1	265	63.02	0.24
1	142	596.0907	369.3902	1312	79.54	0.06	-0.22	0	46.6	193	3	150	36.23	0.15
1	143	602.4238	703.7469	1430	75.86	0.05	-0.18	0	39.65	245	1	245	50.57	0.21
1	144	610.5288	951.9648	2417	104.1	0.04	-0.04	0	35.79	223	3	219	35.47	0.14
1	145	603.93	126.3698	1828	87.36	0.05	-0.03	0	49.53	113	3	75	19.05	0.15
1	146	608.2806	315.3658	1069	75.93	0.07	-0.16	0	66.41	218	6	207	34.1	0.13
1	147	612.2864	46.80435	1058	97.58	0.09	0.54	0	62.2	119	2	113	34.26	0.24
1	148	617.7543	764.0593	1685	110.42	0.07	-0.23	0	60.33	220	3	211	47.14	0.16
1	149	621.3726	172.4002	1664	141.84	0.09	1.23	0	57.9	231	4	210	50.6	0.2
1	150	621.9018	238.5483	1802	95.26	0.05	0.03	0	42.74	203	4	182	34.67	0.14
1	151	642.4671	406.1358	3828	154.35	0.04	0.52	0	29.69	299	3	289	71.85	0.16
1	152	635.2134	344.7818	1256	80.7	0.06	-0.25	0	62.65	154	4	139	29.62	0.15
1	153	632.7434	281.5273	1485	63.07	0.04	0.19	0	31.45	173	2	167	34.37	0.18
1	154	644.6322	923.8918	1248	160.22	0.13	-0.06	0	90.36	277	3	254	95.95	0.24
1	155	636.4734	122.1648	1578	82.89	0.05	0.01	0	42.81	145	5	113	27.1	0.14
1	156	649.653	985.288	1507	74.28	0.05	0	0	40.36	117	5	100	18.35	0.13
1	157	647.0993	664.1517	916	89.11	0.1	0.04	0	77.24	236	3	150	52.8	0.2
1	158	645.7491	697.7742	797	56.48	0.07	0.01	0	47.83	114	5	63	21.15	0.16
1	159	652.2266	190.0737	1465	70.16	0.05	1.13	0	31.79	113	3	108	19.8	0.15
1	160	654.8462	750.14	1743	137.35	0.08	-0.23	0	59.18	403	1	403	72.11	0.18
1	161	673.2783	290.4219	1121	103.72	0.09	0.46	0	56.61	199	3	194	38.24	0.14
1	162	674.6073	347.1754	1146	166.84	0.15	0.17	0	90	440	1	440	112.98	0.26
1	163	683.3679	246.9645	1775	85.26	0.05	0.49	0	32.06	193	4	177	34.62	0.14
1	164	688.3176	190.0651	1842	141.12	0.08	0.53	0	60.47	299	4	272	70.35	0.17
1	165	692.0367	725.6922	1225	53.1	0.04	-0.12	0	31.73	134	1	134	24.88	0.19
1	166	693.027	681.4759	1704	89.76	0.05	-0.12	0	32.16	230	2	218	47.65	0.17
1	167	698.4568	398.996	1749	178.73	0.1	0.18	0	77.28	610	4	600	110.22	0.13
1	168	736.9292	947.7366	2289	191.12	0.08	2.84	0	42.3	225	8	128	48.02	0.2
1	169	766.5572	425.8601	1251	167.75	0.13	0.01	0	108.89	480	2	469	110.98	0.19
1	170	761.369	975.4163	1057	149.51	0.14	1.1	0	62.63	271	5	257	68.35	0.2
1	171	779.9764	395.3568	1819	85.17	0.05	0.36	0	33.01	97	2	84	17.57	0.2
1	172	773.4171	477.8589	1623	82.42	0.05	-0.25	0	47.57	188	2	186	35.6	0.16
1	173	771.3208	49.34101	1780	98.95	0.06	0.06	0	44.3	157	1	157	28.93	0.18
1	174	794.0826	368.8854	2094	88.31	0.04	1.82	0	22.84	160	3	127	28.27	0.19
1	175	785.2354	942.5723	1300	151.2	0.12	1.31	0	52.25	426	4	403	81.14	0.14
1	176	805.4269	529.7245	2530	118.5	0.05	0.18	0	44.59	122	5	104	28.62	0.19
1	177	790.3866	725.1681	2160	112.15	0.05	0.7	0	48.9	204	4	155	43.1	0.19
1	178	800.5944	41.02661	1541	124.82	0.08	0.13	0	62.21	184	1	184	59.23	0.32
1	179	809.0151	321.2226	1788	131.57	0.07	-0.07	0	62.22	267	6	122	39.76	0.14
1	180	817.645	779.1401	4040	250.83	0.06	0.15	0	60.96	347	4	175	106.29	0.26
1	181	813.9674	681.5548	1779	95.39	0.05	-0.22	0	39.9	211	2	209	40.63	0.16
1	182	821.6223	568.4078	1366	66.65	0.05	-0.05	0	34.24	108	6	76	16.81	0.16
1	183	827.274	482.5269	1336	80.23	0.06	-0.22	0	46.26	145	2	132	28.79	0.19
1	184	837.8486	358.9125	2378	198.28	0.08	0.25	0	62.8	430	8	185	82.72	0.17
1	185	831.7466	58.82391	1397	168.11	0.12	0.19	0	88.65	265	2	262	99.86	0.26
1	186	842.0824	424.5183	2209	112.85	0.05	-0.02	0	42.07	242	4	211	43.53	0.15
1	187	845.762	510.0081	1609	89.07	0.06	0.37	0	45.77	138	2	131	28.38	0.2
1	188	842.4788	865.7545	1886	82.78	0.04	-0.11	0	37.76	138	3	119	26.79	0.16
1	189	847.2197	623.0323	2230	64.01	0.03	-0.16	0	24.95	138	4	128	19.74	0.12
1	190	853.248	817.9095	2077	120.29	0.06	-0.34	0	44.52	151	3	94	32.37	0.21
1	191	847.2918	968.087	2070	195.91	0.09	-0.18	0	68.57	354	4	346	86.63	0.14
1	192	859.2184	752.5976	2756	364.05	0.13	0.36	0	97.7	862	8	451	212.91	0.19
1	193	852.9553	699.9678	2172	95.22	0.04	-0.29	0	40.26	142	3	128	25.04	0.16
1	194	867.8963	148.7962	1987	156.73	0.08	0.13	0	61.42	186	7	160	50.18	0.2
1	195	858.9689	113.5916	1447	161.37	0.11	2.65	0	39.7	272	3	230	78.74	0.28
1	196	868.5822	40.23758	2980	211.14	0.07	-0.1	0	59.73	265	1	265	88.4	0.33
1	197	853.7376	229.5065	1311	107.18	0.08	0.17	0	60.53	126	2	124	28.78	0.2
1	198	848.8706	282.5072	966	57.46	0.06	-0.06	0	42.42	76	1	76	14.48	0.19
1	199	871.9622	658.5422	1824	153.55	0.08	-0.01	0	69.16	261	2	255	72.96	0.22
1	200	869.2517	186.4285	1867	141.75	0.08	0.17	0	57.93	228	2	219	62.52	0.24
1	201	875.6001	922.1039	3533	233.74	0.07	2.5	0	65.51	317	6	209	71.45	0.19
